Date,Open,High,Low,Close,Adj Close,Volume,Foreign_Investor_Buy,Foreign_Investor_Sell,Investment_Trust_Buy,Investment_Trust_Sell,Dealer_Buy,Dealer_Sell,Total_Buy,Total_Sell,Net_Buy_Sell,MA10,MA20,RSI,MACD,MACD_signal,MACD_hist,Upper_BB,Middle_BB,Lower_BB,ATR,ADX,Cluster
2020-02-27,72.80000305175781,73.5,72.5999984741211,73.19999694824219,59.9625358581543,10275934,899,181,869,723,473,702,2241,1606,635,74.04999923706055,73.96999931335449,43.26933783178295,-0.20296918370107164,-0.0516404301369625,-0.15132875356410913,75.42615907073655,73.96999931335449,72.51383955597244,0.9284936369653688,16.586744247761267,2
2020-03-02,71.4000015258789,71.9000015258789,71.19999694824219,71.19999694824219,58.32421112060547,18205933,837,526,325,208,640,214,1802,948,854,73.74999923706055,73.89999923706054,32.439122566889125,-0.39185438643032455,-0.1196832213956349,-0.27217116503468963,75.70554717520757,73.89999923706054,72.09445129891351,1.0050298057535567,18.883514342019478,2
2020-03-03,71.69999694824219,72.30000305175781,71.4000015258789,72.0,58.97954177856445,9426839,853,335,731,994,773,988,2357,2317,40,73.44999923706055,73.84999923706054,39.01462400319152,-0.47155788430954715,-0.19005815397841735,-0.2814997303311298,75.80192214838853,73.84999923706054,71.89807632573256,1.0118138270222758,20.35742748707553,2
2020-03-04,72.0,73.5,72.0,73.5,60.208282470703125,8270691,739,452,186,575,244,161,1169,1188,-19,73.28999938964844,73.84999923706054,49.031258074530534,-0.4089716460746331,-0.2338408523976605,-0.1751307936769726,75.80192214838853,73.84999923706054,71.89807632573256,1.046684267949256,20.06282076330683,2
2020-03-05,74.19999694824219,74.19999694824219,72.80000305175781,73.5999984741211,60.29020309448242,8456162,599,985,453,429,432,762,1484,2176,-692,73.14999923706054,73.84499931335449,49.62527063193964,-0.3472991122447411,-0.25653250436707664,-0.09076660787766444,75.79894480742077,73.84499931335449,71.89105381928822,1.0719206699874788,19.001392180541266,2
2020-03-06,73.5999984741211,73.69999694824219,72.5,72.69999694824219,59.55295944213867,8688680,225,387,102,719,220,812,547,1918,-1371,73.01999893188477,73.77999916076661,44.588531714345926,-0.36681734435987323,-0.27858947236563597,-0.08822787199423726,75.79454723789986,73.77999916076661,71.76545108363335,1.0810689755771008,18.299908840894393,2
2020-03-09,71.5999984741211,72.69999694824219,71.19999694824219,71.80000305175781,58.81571578979492,15373808,738,595,701,269,135,350,1574,1214,360,72.79999923706055,73.68999938964843,40.19512931088171,-0.4497235368264967,-0.31281628525780814,-0.13690725156868855,75.88171127508869,73.68999938964843,71.49828750420818,1.1109926201787366,18.710806584083077,2
2020-03-10,71.80000305175781,72.80000305175781,71.4000015258789,72.4000015258789,59.30721282958984,13507295,543,187,551,340,289,224,1383,751,632,72.68999938964843,73.55999946594238,44.14629348757755,-0.46169035023282845,-0.3425910982528122,-0.11909925198001625,75.73384390518086,73.55999946594238,71.3861550267039,1.1316361134430344,18.973756120746174,2
2020-03-11,72.0,73.19999694824219,71.80000305175781,72.9000015258789,59.71678924560547,13332307,663,299,379,388,507,751,1549,1438,111,72.62999954223633,73.47499961853028,47.27258547870048,-0.4259185903633522,-0.3592565966749202,-0.06666199368843201,75.61217055660256,73.47499961853028,71.33782868045799,1.1508045265174158,18.74138779762261,2
2020-03-12,72.69999694824219,72.69999694824219,68.9000015258789,70.30000305175781,57.586971282958984,19721933,481,196,433,116,186,573,1100,885,215,72.35999984741211,73.26999969482422,35.99121583451027,-0.6004457953486195,-0.4074944364096601,-0.19295135893895943,75.7688783789035,73.26999969482422,70.77112101074495,1.3543184889090287,20.32281541123435,2
