Ticker    ,One Month Return ,Six Months Return ,One Year Return ,Monthly Win Rate ,Weekly Win Rate ,Six Months Win Rate ,One Year Win Rate ,Daily Win Rate
00929.TW  ,-0.09%           ,0.11%             ,0.07%           ,51.32%           ,50.23%          ,50.42%              ,51.63%            ,51.28%
00712.TW  ,0.48%            ,0.01%             ,-0.00%          ,48.53%           ,47.88%          ,48.74%              ,49.19%            ,48.18%
00637L.TW ,0.22%            ,0.23%             ,0.14%           ,48.14%           ,48.08%          ,47.90%              ,44.31%            ,47.82%
2884.TW   ,0.46%            ,0.19%             ,0.12%           ,45.71%           ,45.56%          ,52.10%              ,47.15%            ,45.64%
00650L.TW ,0.67%            ,0.35%             ,0.15%           ,48.45%           ,48.54%          ,46.22%              ,43.09%            ,48.18%
2886.TW   ,0.42%            ,0.11%             ,0.06%           ,47.49%           ,47.27%          ,47.06%              ,47.97%            ,47.18%
2892.TW   ,0.28%            ,0.08%             ,0.05%           ,47.27%           ,47.30%          ,49.58%              ,48.78%            ,47.00%
00893.TW  ,0.72%            ,0.30%             ,0.23%           ,50.67%           ,50.84%          ,54.62%              ,51.63%            ,50.53%
00706L.TW ,0.19%            ,-0.19%            ,-0.23%          ,40.70%           ,40.48%          ,31.09%              ,35.37%            ,41.00%
2880.TW   ,0.41%            ,0.24%             ,0.17%           ,46.20%           ,45.77%          ,51.26%              ,48.37%            ,45.91%
00830.TW  ,0.46%            ,0.33%             ,0.27%           ,52.35%           ,52.45%          ,54.62%              ,54.47%            ,52.55%
00900.TW  ,-0.09%           ,0.18%             ,0.15%           ,49.87%           ,49.44%          ,51.26%              ,53.66%            ,49.60%
0050.TW   ,0.53%            ,0.37%             ,0.30%           ,51.25%           ,51.49%          ,55.46%              ,54.88%            ,51.45%
5880.TW   ,0.21%            ,0.04%             ,-0.00%          ,47.75%           ,47.72%          ,40.34%              ,42.28%            ,47.64%
00673R.TW ,-0.05%           ,-0.09%            ,-0.13%          ,45.22%           ,44.99%          ,43.70%              ,41.87%            ,45.27%
00715L.TW ,-0.05%           ,0.18%             ,0.26%           ,50.22%           ,50.63%          ,52.94%              ,53.66%            ,50.09%
00633L.TW ,0.22%            ,0.22%             ,0.13%           ,48.05%           ,47.98%          ,47.90%              ,44.31%            ,47.73%
2812.TW   ,0.85%            ,0.23%             ,0.18%           ,42.89%           ,42.61%          ,47.06%              ,45.12%            ,42.36%
00885.TW  ,0.15%            ,0.03%             ,0.02%           ,45.95%           ,46.98%          ,46.22%              ,47.97%            ,46.76%
00895.TW  ,0.58%            ,0.37%             ,0.33%           ,53.45%           ,52.96%          ,59.66%              ,55.28%            ,52.92%
00662.TW  ,0.19%            ,0.19%             ,0.19%           ,53.09%           ,53.48%          ,59.66%              ,56.10%            ,53.27%
00646.TW  ,0.17%            ,0.16%             ,0.17%           ,53.64%           ,54.17%          ,57.98%              ,56.10%            ,54.00%
00903.TW  ,0.39%            ,0.21%             ,0.17%           ,48.96%           ,48.67%          ,53.78%              ,51.22%            ,49.00%
00683L.TW ,-0.29%           ,0.03%             ,0.07%           ,48.07%           ,48.54%          ,48.74%              ,49.59%            ,48.18%
00642U.TW ,0.03%            ,0.10%             ,0.14%           ,49.73%           ,49.88%          ,52.94%              ,53.66%            ,49.55%
00770.TW  ,0.16%            ,0.24%             ,0.18%           ,54.14%           ,54.47%          ,57.14%              ,57.72%            ,54.27%
00762.TW  ,0.21%            ,0.21%             ,0.22%           ,52.47%           ,52.71%          ,54.62%              ,55.28%            ,52.55%
0051.TW   ,0.25%            ,0.16%             ,0.13%           ,57.22%           ,56.72%          ,57.98%              ,55.69%            ,56.91%
00851.TW  ,0.26%            ,0.21%             ,0.21%           ,54.68%           ,54.71%          ,58.82%              ,58.13%            ,54.55%
006203.TW ,0.48%            ,0.35%             ,0.27%           ,52.28%           ,52.54%          ,62.18%              ,56.91%            ,52.27%
00660.TW  ,0.14%            ,0.08%             ,0.07%           ,51.80%           ,51.57%          ,53.78%              ,48.78%            ,51.45%
