Ticker    ,Daily Return ,Weekly Return ,One Month Return ,Six Months Return ,One Year Return ,Daily Win Rate ,Monthly Win Rate ,Weekly Win Rate ,Six Months Win Rate ,One Year Win Rate
00929.TW  ,0.12%        ,0.12%         ,0.04%            ,0.10%             ,0.11%           ,51.28%         ,51.32%           ,50.23%          ,50.42%              ,51.63%
00712.TW  ,-0.03%       ,-0.05%        ,0.16%            ,0.00%             ,0.01%           ,48.18%         ,48.53%           ,47.88%          ,48.74%              ,49.19%
00637L.TW ,-0.00%       ,0.00%         ,0.05%            ,0.20%             ,-0.00%          ,47.82%         ,48.14%           ,48.08%          ,47.90%              ,44.31%
2884.TW   ,0.04%        ,0.03%         ,0.19%            ,0.14%             ,0.08%           ,45.64%         ,45.71%           ,45.56%          ,52.10%              ,47.15%
00650L.TW ,-0.05%       ,-0.05%        ,0.23%            ,0.21%             ,-0.01%          ,48.18%         ,48.45%           ,48.54%          ,46.22%              ,43.09%
2886.TW   ,0.04%        ,0.04%         ,0.31%            ,0.06%             ,0.05%           ,47.18%         ,47.49%           ,47.27%          ,47.06%              ,47.97%
2892.TW   ,0.03%        ,0.03%         ,0.17%            ,0.06%             ,0.03%           ,47.00%         ,47.27%           ,47.30%          ,49.58%              ,48.78%
00893.TW  ,0.08%        ,0.08%         ,0.39%            ,0.26%             ,0.13%           ,50.53%         ,50.67%           ,50.84%          ,54.62%              ,51.63%
00706L.TW ,-0.09%       ,-0.11%        ,-0.12%           ,-0.19%            ,-0.14%          ,41.00%         ,40.70%           ,40.48%          ,31.09%              ,35.37%
2880.TW   ,0.04%        ,0.04%         ,0.40%            ,0.19%             ,0.10%           ,45.91%         ,46.20%           ,45.77%          ,51.26%              ,48.37%
00830.TW  ,0.12%        ,0.12%         ,0.29%            ,0.30%             ,0.20%           ,52.55%         ,52.35%           ,52.45%          ,54.62%              ,54.47%
00900.TW  ,0.02%        ,0.02%         ,0.04%            ,0.17%             ,0.11%           ,49.60%         ,49.87%           ,49.44%          ,51.26%              ,53.66%
0050.TW   ,0.07%        ,0.07%         ,0.56%            ,0.34%             ,0.18%           ,51.45%         ,51.25%           ,51.49%          ,55.46%              ,54.88%
5880.TW   ,0.04%        ,0.04%         ,0.14%            ,0.02%             ,0.00%           ,47.64%         ,47.75%           ,47.72%          ,40.34%              ,42.28%
00673R.TW ,-0.00%       ,-0.02%        ,-0.28%           ,-0.14%            ,-0.09%          ,45.27%         ,45.22%           ,44.99%          ,43.70%              ,41.87%
00715L.TW ,0.11%        ,0.14%         ,0.48%            ,0.27%             ,0.16%           ,50.09%         ,50.22%           ,50.63%          ,52.94%              ,53.66%
00633L.TW ,-0.00%       ,-0.01%        ,0.05%            ,0.19%             ,-0.01%          ,47.73%         ,48.05%           ,47.98%          ,47.90%              ,44.31%
2812.TW   ,0.07%        ,0.07%         ,0.33%            ,0.18%             ,0.12%           ,42.36%         ,42.89%           ,42.61%          ,47.06%              ,45.12%
00885.TW  ,-0.02%       ,-0.01%        ,-0.03%           ,0.02%             ,-0.01%          ,46.76%         ,45.95%           ,46.98%          ,46.22%              ,47.97%
00895.TW  ,0.11%        ,0.11%         ,0.38%            ,0.34%             ,0.18%           ,52.92%         ,53.45%           ,52.96%          ,59.66%              ,55.28%
00662.TW  ,0.09%        ,0.11%         ,0.28%            ,0.20%             ,0.14%           ,53.27%         ,53.09%           ,53.48%          ,59.66%              ,56.10%
00646.TW  ,0.07%        ,0.07%         ,0.19%            ,0.17%             ,0.11%           ,54.00%         ,53.64%           ,54.17%          ,57.98%              ,56.10%
00903.TW  ,0.02%        ,0.02%         ,0.37%            ,0.19%             ,0.10%           ,49.00%         ,48.96%           ,48.67%          ,53.78%              ,51.22%
00683L.TW ,0.02%        ,0.03%         ,-0.04%           ,0.05%             ,0.04%           ,48.18%         ,48.07%           ,48.54%          ,48.74%              ,49.59%
00642U.TW ,0.03%        ,0.06%         ,0.29%            ,0.16%             ,0.09%           ,49.55%         ,49.73%           ,49.88%          ,52.94%              ,53.66%
00770.TW  ,0.07%        ,0.09%         ,0.33%            ,0.18%             ,0.15%           ,54.27%         ,54.14%           ,54.47%          ,57.14%              ,57.72%
00762.TW  ,0.10%        ,0.12%         ,0.22%            ,0.22%             ,0.17%           ,52.55%         ,52.47%           ,52.71%          ,54.62%              ,55.28%
0051.TW   ,0.09%        ,0.09%         ,0.26%            ,0.15%             ,0.10%           ,56.91%         ,57.22%           ,56.72%          ,57.98%              ,55.69%
00851.TW  ,0.09%        ,0.10%         ,0.38%            ,0.22%             ,0.16%           ,54.55%         ,54.68%           ,54.71%          ,58.82%              ,58.13%
006203.TW ,0.07%        ,0.07%         ,0.52%            ,0.31%             ,0.16%           ,52.27%         ,52.28%           ,52.54%          ,62.18%              ,56.91%
00660.TW  ,0.04%        ,0.03%         ,-0.03%           ,0.09%             ,0.06%           ,51.45%         ,51.80%           ,51.57%          ,53.78%              ,48.78%
