,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-6152731.933517,-55720.608965,-55028.327527,-1044879.27386
Tax Rate For Calcs,0.110523,0.124934,0.118087,0.129125
Normalized EBITDA,105437681000.0,150912278000.0,137666197000.0,58086849000.0
Total Unusual Items,-55669000.0,-446000.0,-466000.0,-8092000.0
Total Unusual Items Excluding Goodwill,-55669000.0,-446000.0,-466000.0,-8092000.0
Net Income From Continuing Operation Net Minority Interest,76978637000.0,118141106000.0,111421062000.0,40916800000.0
Reconciled Depreciation,18200197000.0,14979659000.0,10621077000.0,9901083000.0
Reconciled Cost Of Revenue,226079292000.0,277891595000.0,261809987000.0,180610472000.0
EBITDA,105382012000.0,150911832000.0,137665731000.0,58078757000.0
EBIT,87181815000.0,135932173000.0,127044654000.0,48177674000.0
Net Interest Income,6908458000.0,2847404000.0,1458097000.0,1887211000.0
Interest Expense,399373000.0,370930000.0,192601000.0,594988000.0
Interest Income,7307831000.0,3218334000.0,1650698000.0,2482199000.0
Normalized Income,77028153268.06648,118141496279.39104,111421472971.67247,40923847120.72614
Net Income From Continuing And Discontinued Operation,76978637000.0,118141106000.0,111421062000.0,40916800000.0
Total Expenses,361591155000.0,422007132000.0,385373882000.0,278918657000.0
Diluted Average Shares,1592472791.0,1591630277.0,1586781030.0,1583611526.0
Basic Average Shares,1586833341.0,1583800753.0,1579074576.0,1573329335.0
Diluted EPS,48.34,74.23,70.22,25.84
Basic EPS,48.51,74.59,70.56,26.01
Diluted NI Availto Com Stockholders,76978637000.0,118141106000.0,111421062000.0,40916800000.0
Net Income Common Stockholders,76978637000.0,118141106000.0,111421062000.0,40916800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,76978637000.0,118141106000.0,111421062000.0,40916800000.0
Minority Interests,-212307000.0,-483915000.0,-451471000.0,-521773000.0
Net Income Including Noncontrolling Interests,77190944000.0,118625021000.0,111872533000.0,41438573000.0
Net Income Continuous Operations,77190944000.0,118625021000.0,111872533000.0,41438573000.0
Tax Provision,9591498000.0,16936222000.0,14979520000.0,6144113000.0
Pretax Income,86782442000.0,135561243000.0,126852053000.0,47582686000.0
Other Non Operating Income Expenses,7796094000.0,4547049000.0,16375240000.0,2125188000.0
Special Income Charges,-55669000.0,-446000.0,-466000.0,-8092000.0
Write Off,55669000.0,446000.0,466000.0,8092000.0
Net Non Operating Interest Income Expense,6908458000.0,2847404000.0,1458097000.0,1887211000.0
Interest Expense Non Operating,399373000.0,370930000.0,192601000.0,594988000.0
Interest Income Non Operating,7307831000.0,3218334000.0,1650698000.0,2482199000.0
Operating Income,71855175000.0,126788898000.0,108040700000.0,43227331000.0
Operating Expense,135511863000.0,144115537000.0,123563895000.0,98308185000.0
Research And Development,111384930000.0,116874655000.0,96080761000.0,77324828000.0
Selling General And Administration,24126933000.0,27240882000.0,27483134000.0,20983357000.0
Selling And Marketing Expense,14423677000.0,14239563000.0,17195853000.0,13639249000.0
General And Administrative Expense,9703256000.0,13001319000.0,10287281000.0,7344108000.0
Gross Profit,207367038000.0,270904435000.0,231604595000.0,141535516000.0
Cost Of Revenue,226079292000.0,277891595000.0,261809987000.0,180610472000.0
Total Revenue,433446330000.0,548796030000.0,493414582000.0,322145988000.0
Operating Revenue,433446330000.0,548796030000.0,493414582000.0,322145988000.0
